CTRL OGNL (OGNL / OGNL) [    VAR1    ]: C[61.705850000000474] T[103.961] D[0.107]
EXP1 AGGR (AGGR / AGGR) [    VAR2    ]: C[42.89117999999999] T[61.651] D[0.474]
EXP2 SMOD (AGGR / OGNL) [VAR2 -- VAR1]: C[46.03379000000034] T[55.485] D[0.444]
EXP2 SMOD (SMDP / OGNL) [VAR3 -- VAR1]: C[43.493450000000216] T[53.215] D[0.0]
EXP2 SMOD (GDQL / OGNL) [VAR4 -- VAR1]: C[19.77933000000018] T[58.142] D[0.0]
EXP2 SMOD (NEAT / OGNL) [VAR5 -- VAR1]: C[18.768229999999946] T[32.844] D[0.0]
EXP3 DMOD (AGGR / SMDP) [VAR2 -- VAR3]: C[30.921650000000078] T[75.746] D[0.472]
EXP3 DMOD (AGGR / GDQL) [VAR2 -- VAR4]: C[34.395740000000146] T[35.378] D[0.308]
EXP3 DMOD (AGGR / NEAT) [VAR2 -- VAR5]: C[38.54191999999989] T[135.017] D[0.507]
EXP3 DMOD (SMDP / GDQL) [VAR3 -- VAR4]: C[30.26730000000018] T[122.04] D[0.0]
EXP3 DMOD (SMDP / NEAT) [VAR3 -- VAR5]: C[27.146659999999837] T[113.136] D[0.0]
EXP3 DMOD (GDQL / NEAT) [VAR4 -- VAR5]: C[20.3132000000002] T[112.42] D[0.0]
