(1, 1) [id: 3, p: (1, 1), v: True]
(1, 2) [id: 3, p: (1, 2), v: True]
(1, 3) [id: 3, p: (1, 3), v: True]
(1, 4) [id: 3, p: (1, 4), v: True]
(1, 5) [id: 3, p: (1, 5), v: True]
(1, 7) [id: 3, p: (1, 7), v: True]
(1, 8) [id: 3, p: (1, 8), v: True]
(1, 9) [id: 3, p: (1, 9), v: True]
(1, 10) [id: 3, p: (1, 10), v: True]
(1, 11) [id: 3, p: (1, 11), v: True]
(2, 1) [id: 3, p: (2, 1), v: True]
(2, 3) [id: 3, p: (2, 3), v: True]
(2, 5) [id: 3, p: (2, 5), v: True]
(2, 7) [id: 3, p: (2, 7), v: True]
(2, 9) [id: 3, p: (2, 9), v: True]
(3, 1) [id: 3, p: (3, 1), v: True]
(3, 2) [id: 3, p: (3, 2), v: True]
(3, 3) [id: 3, p: (3, 3), v: True]
(3, 4) [id: 3, p: (3, 4), v: True]
(3, 5) [id: 3, p: (3, 5), v: True]
(3, 7) [id: 3, p: (3, 7), v: True]
(3, 8) [id: 3, p: (3, 8), v: True]
(3, 9) [id: 3, p: (3, 9), v: True]
(3, 10) [id: 3, p: (3, 10), v: True]
(3, 11) [id: 3, p: (3, 11), v: True]
(4, 1) [id: 3, p: (4, 1), v: True]
(4, 3) [id: 3, p: (4, 3), v: True]
(4, 9) [id: 3, p: (4, 9), v: True]
(4, 11) [id: 3, p: (4, 11), v: True]
(5, 1) [id: 3, p: (5, 1), v: True]
(5, 2) [id: 3, p: (5, 2), v: True]
(5, 3) [id: 3, p: (5, 3), v: True]
(5, 9) [id: 3, p: (5, 9), v: True]
(5, 10) [id: 3, p: (5, 10), v: True]
(5, 11) [id: 3, p: (5, 11), v: True]
(9, 1) [id: 3, p: (9, 1), v: True]
(9, 2) [id: 3, p: (9, 2), v: True]
(9, 3) [id: 3, p: (9, 3), v: True]
(9, 9) [id: 3, p: (9, 9), v: True]
(9, 10) [id: 3, p: (9, 10), v: True]
(9, 11) [id: 3, p: (9, 11), v: True]
(10, 1) [id: 3, p: (10, 1), v: True]
(10, 3) [id: 3, p: (10, 3), v: True]
(10, 9) [id: 3, p: (10, 9), v: True]
(10, 11) [id: 3, p: (10, 11), v: True]
(11, 1) [id: 3, p: (11, 1), v: True]
(11, 2) [id: 3, p: (11, 2), v: True]
(11, 3) [id: 3, p: (11, 3), v: True]
(11, 4) [id: 3, p: (11, 4), v: True]
(11, 5) [id: 3, p: (11, 5), v: True]
(11, 7) [id: 3, p: (11, 7), v: True]
(11, 8) [id: 3, p: (11, 8), v: True]
(11, 9) [id: 3, p: (11, 9), v: True]
(11, 10) [id: 3, p: (11, 10), v: True]
(11, 11) [id: 3, p: (11, 11), v: True]
(12, 5) [id: 3, p: (12, 5), v: True]
(12, 7) [id: 3, p: (12, 7), v: True]
(12, 11) [id: 3, p: (12, 11), v: True]
(13, 1) [id: 3, p: (13, 1), v: True]
(13, 2) [id: 3, p: (13, 2), v: True]
(13, 3) [id: 3, p: (13, 3), v: True]
(13, 4) [id: 3, p: (13, 4), v: True]
(13, 5) [id: 3, p: (13, 5), v: True]
(13, 7) [id: 3, p: (13, 7), v: True]
(13, 8) [id: 3, p: (13, 8), v: True]
(13, 9) [id: 3, p: (13, 9), v: True]
(13, 10) [id: 3, p: (13, 10), v: True]
(13, 11) [id: 3, p: (13, 11), v: True]
